【F. 黛玉共现句子（全部）】
[句656] 共现:林如海 | 情感:中性 | 誰知這年冬底，林如海因為身染重疾，寫書來特接黛玉回去
[句2820] 共现:寶釵、鳳姐 | 情感:正面 | 後面寶釵黛玉見鳳姐兒這般，都拍手笑道：「虧他這一陣風來，把個老婆子撮了去了
[句2920] 共现:史湘雲、寶釵、惜春、探春、迎春 | 情感:正面 | 因他自幼姐妹叢中長大，親姊妹有元春探春叔伯的有迎春、惜春，親戚中又有湘雲、黛玉、寶釵等人，他便料定天地間靈淑之氣只鍾於女子，男兒們不過是些渣滓濁沫而已
[句2967] 共现:寶玉 | 情感:中性 | 正值黛玉在旁，因問寶玉：「打那裡來
[句2969] 共现:(无) | 情感:混合 | 」黛玉冷笑道：「我說呢，虧了絆住，不然，早就飛了來了
[句2972] 共现:(无) | 情感:正面 | 」黛玉道：「好沒意思的話
[句2978] 共现:(无) | 情感:中性 | 」黛玉道：「你管我呢
[句2980] 共现:(无) | 情感:负面 | 」黛玉道：「我作踐了我的身子，我死我的，與你何干
[句2983] 共现:(无) | 情感:负面 | 」黛玉道：「偏要說死
[句2988] 共现:(无) | 情感:负面 | 」黛玉忙道：「正是了，要是這樣鬧，不如死了乾淨
[句2992] 共现:(无) | 情感:负面 | 這黛玉越發氣悶，只向窗前流淚
[句2994] 共现:(无) | 情感:负面 | 黛玉見了，越發抽抽搭搭的哭個不住
[句2996] 共现:(无) | 情感:中性 | 不料自己沒張口，只聽黛玉先說道：「你又來作什麼
[句3005] 共现:(无) | 情感:中性 | 」黛玉啐道：「我難道叫你遠他
[句3011] 共现:(无) | 情感:负面 | 黛玉聽了，低頭不語，半日，說道：「你只怨人行動嗔怪你，你再不知道你嘔的人難受
[句3015] 共现:(无) | 情感:负面 | 」黛玉歎道：「回來傷了風，又該訛著吵吃的了
[句3018] 共现:寶玉 | 情感:正面 | 」黛玉笑道：「偏是咬舌子愛說話，連個『二哥哥』也叫不上來，只是『愛哥哥』『愛哥哥』的
[句3024] 共现:(无) | 情感:中性 | 」黛玉便問是誰
[句3026] 共现:(无) | 情感:混合 | 」黛玉聽了，冷笑道：「我當是誰，原來是他

【G. 别人提及黛玉的句子
[句1031] 共现:寶玉、鳳姐 | 情感:正面 | 距离:7 | 鳳姐向寶玉笑道：「你林妹妹可在偺們家住長了

【H. 黛玉提及他人的句子
[句3018] 共现:寶玉 | 情感:正面 | 距离:18 | 」黛玉笑道：「偏是咬舌子愛說話，連個『二哥哥』也叫不上來，只是『愛哥哥』『愛哥哥』的
